Bowflex HVT,CAM50810 DOSG2HSL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759493,Online Search,Web
Bowflex Max Trainer,CAM50256 DODG2EDL1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759593,Online Display,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759693,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759893,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74759993,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760094,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760194,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760195,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760196,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760294,Electronic - UnSourced,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760295,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760296,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760394,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760495,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74760695,Online Search,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74760895,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74760995,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM37743 dosbigsl6,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761096,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74761195,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761395,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37148 dosg2dsl12,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761495,Online Search,Web
Treadclimber,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761596,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761695,Online Search,Web
Treadclimber,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761795,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74761895,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74761995,Online Shopping,Web
Bowflex Catalog,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74762095,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74762096,Electronic - UnSourced,Web
Results Treadmill,CAM50815 DODG2BXTDL2,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74762395,Online Display,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74762495,Electronic - UnSourced,Web
Bowflex HVT,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74762496,Online Search,Web
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74762596,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74762695,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74762697,Online Search,Web
Bowflex HVT,CAM39441 dosbigl1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74762795,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74762995,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74763295,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74763395,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74763396,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74763397,Electronic - UnSourced,Web
Treadclimber,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74763495,Online Search,Web
Bowflex Max Trainer,CAM37440 dosg2tsl21,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74763595,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74763895,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74763995,Online Shopping,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764095,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764295,Online Search,Web
Bowflex Max Trainer,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764296,Online Search,Web
Bowflex HVT,CAM50791 DOXFBH002,Internal,,9/28/2017,9/25/2017,74764395,Online Social,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764495,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74764695,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74764696,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74764697,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764895,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764995,Online Search,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764996,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764997,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74764998,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74765395,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74765495,Online Search,Web
Bowflex HVT,CAM50808 DOFG2HFEED1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74765496,Online Shopping,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74765595,Online Search,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74765695,Online Search,Web
Bowflex Catalog,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74765696,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74765697,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74765795,Online Shopping,Web
Bowflex Catalog,CAM51286 DODAMBHDL1,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74766595,Online Display,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74766695,Electronic - UnSourced,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74766696,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74766795,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,9/28/2017,9/28/2017,9/25/2017,74766796,Electronic - Short Form,Web
Bowflex Max Trainer,CAM44948 dofbiefeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74766895,Online Shopping,Web
Bowflex Selecttech Dumbbells,CAM16616 DEGBFBHG,Internal,,9/28/2017,9/25/2017,74767295,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74767595,Online Search,Web
Treadclimber,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74767695,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/28/2017,9/25/2017,74767696,Online Shopping,Web
Bowflex Max Trainer,CAM47150 DOSG2ESL9,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74767795,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74767796,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74767895,Online Shopping,Web
Bowflex Max Trainer,CAM47152 DOSBIESL8,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74767995,Online Search,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74767996,Electronic - UnSourced,Web
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74767997,Electronic - UnSourced,Web
Bowflex Catalog,CAM51413 DODTABOOLADDL1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74768295,Online Display,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74768296,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74768695,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74768795,Electronic - Short Form,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74768895,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74769095,Online Shopping,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74769096,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74769195,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74769196,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74769295,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM32062 dofg2gfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74769695,Online Shopping,Web
Bowflex Home Gyms,CAM30755 dosg2gsl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74769795,Online Search,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74769895,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74769995,Electronic - UnSourced,Web
Bowflex HVT,CAM39441 dosbigl1,TouchPoint Integrated Communications,11/2/2017,9/29/2017,9/25/2017,74769996,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74770095,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM52177 BLOON60*M450STIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74770195,Short Form,Third Party Call Center - Evolve
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74770295,Online Search,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74770795,Online Search,Web
Bowflex Selecttech Dumbbells,CAM37112 dosg2dsl11,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74771295,Online Search,Web
Bowflex Max Trainer,CAM50739 DODTABOOLAEDL6,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74771595,Online Display,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74771995,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74772095,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74772195,Online Display,Web
Bowflex Catalog,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74772298,Online Search,Web
Bowflex HVT,CAM16616 DEGBFBHG,Internal,9/29/2017,9/29/2017,9/25/2017,74772400,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74772500,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74772600,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74772701,Online Search,Web
Bowflex Brand,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74772801,Online Search,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74772802,Online Search,Web
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,9/29/2017,9/25/2017,74772901,Un-Sourced,Call Center Internal
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74773003,Online Search,Web
Bowflex Home Gyms,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74773004,Online Search,Web
Bowflex Selecttech Dumbbells,CAM32061 dofg2dfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74773103,Online Shopping,Web
Bowflex Max Trainer,CAM45730 DOSG2ESL7,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74773204,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74773305,Online Search,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74773306,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74773307,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74773406,Electronic - UnSourced,Web
Bowflex HVT,CAM50789 DOXFBH001,Internal,9/29/2017,9/29/2017,9/25/2017,74773508,Online Social,Web
Bowflex Selecttech Dumbbells,CAM37428 dosg2dsl14,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74773708,Online Search,Web
Treadclimber,CAM28157 SALESFOLLOWUP,Internal,,9/29/2017,9/25/2017,74774013,Un-Sourced,Call Center Internal
Bowflex Home Gyms,CAM28157 SALESFOLLOWUP,Internal,,9/29/2017,9/25/2017,74774014,Un-Sourced,Call Center Internal
Treadclimber,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74774022,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74774125,Online Shopping,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74774226,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM52182 CNN*N60*M450CTIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74774428,Short Form,Call Center Internal
Bowflex Max Trainer,CAM52182 CNN*N60*M450CTIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74774429,Short Form,Call Center Internal
Bowflex Max Trainer,CAM48985 DOSBIESL10,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74774530,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74774531,Online Search,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74774630,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM31081 dosg2gl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74774730,Online Search,Web
Bowflex Max Trainer,CAM44429 dosbiesl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74774731,Online Search,Web
Bowflex Max Trainer,CAM48984 DOSG2ESL11,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74774830,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74774930,Online Display,Web
Bowflex HVT,CAM50808 DOFG2HFEED1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775030,Online Shopping,Web
Bowflex Max Trainer,CAM50713 DODG2EDL2,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74775031,Online Display,Web
Results Treadmill,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74775032,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775130,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775131,Online Search,Web
Bowflex HVT,CAM39441 dosbigl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74775132,Online Search,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,Internal,,9/29/2017,9/25/2017,74775230,Online Social,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74775231,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74775330,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775331,Online Shopping,Web
Bowflex Max Trainer,CAM45898 DOXFBERESPONSE,Internal,9/29/2017,9/29/2017,9/25/2017,74775332,Online Social,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74775430,Online Display,Web
Bowflex Selecttech Dumbbells,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775431,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775531,Online Shopping,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775532,Online Search,Web
Results Treadmill,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775633,Online Shopping,Web
Treadclimber,CAM32123 dofg2tfeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775634,Online Shopping,Web
Bowflex Max Trainer,CAM52178 BRNGN60*M450STIC,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74775733,Short Form,Call Center Internal
Bowflex HVT,CAM50745 1800HVT,Internal,9/29/2017,9/29/2017,9/25/2017,74775734,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775735,Online Search,Web
Bowflex Max Trainer,CAM45798 DSEESF14H,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74775736,Electronic - Short Form,Web
Bowflex Max Trainer,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74775737,Electronic - UnSourced,Web
Bowflex Selecttech Dumbbells,CAM39441 dosbigl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775836,Online Search,Web
Bowflex Max Trainer,CAM44497 dosg2esl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775936,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74775937,Online Shopping,Web
Bowflex Brand,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74776036,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM37116 dosg2gsl26,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74776136,Online Search,Web
Bowflex Max Trainer,CAM50714 DODG2EDL3,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74776336,Online Display,Web
Bowflex Home Gyms,CAM16616 DEGBFBHG,Internal,,9/29/2017,9/25/2017,74776436,Electronic - UnSourced,Web
Bowflex Home Gyms,CAM31081 dosg2gl1,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74776437,Online Search,Web
Treadclimber,CAM52178 BRNGN60*M450STIC,TouchPoint Integrated Communications,,9/29/2017,9/25/2017,74776536,Short Form,Call Center Internal
Bowflex Catalog,CAM50803 DODG2HVL1,TouchPoint Integrated Communications,9/29/2017,9/29/2017,9/25/2017,74776538,Online Video,Web
